iteration,category
0,Explore
1,Reproduce
2,Run tests
3,Reproduce
4,Explore
5,Reproduce
6,Run tests
7,Reproduce
8,Explore
9,Reproduce
10,Run tests
11,Reproduce
12,Explore
13,Reproduce
14,Run tests
15,Reproduce
16,Explore
17,Reproduce
18,Run tests
19,Reproduce
20,Explore
21,Reproduce
22,Run tests
23,Reproduce
24,Explore
25,Reproduce
26,Run tests
27,Reproduce
28,Reproduce
29,Explore
30,Reproduce
31,Run tests
32,Reproduce
33,Explore
34,Reproduce
35,Run tests
36,Explore
37,Search
38,Explore
39,Explore
40,Explore
41,Generate Fix
42,Run tests
43,Reproduce
44,Run tests
