iteration,category
0,Explore
1,Explore
2,Explain
3,Search
4,Locate
5,Search
6,Locate
7,Generate Fix
8,Generate Fix
9,Generate Fix
10,Generate Fix
11,Generate Fix
12,Generate Fix
13,Explain
14,Generate Fix
15,Generate Fix
16,Generate Fix
17,Search
18,Locate
19,Locate
20,Generate Fix
21,Generate Fix
22,Explain
23,Explore
24,Explain
25,Locate
26,Generate Fix
27,Generate Fix
28,Explain
29,Explore
30,Explain
31,Explore
32,Generate Fix
33,Generate Fix
34,Explain
35,Explore
36,Explain
37,Locate
38,Generate Fix
