iteration,category
0,Explore
1,Explain
2,Search
3,Explore
4,Explore
5,Generate Fix
6,Generate Fix
7,Explore
8,Generate Fix
9,Generate Fix
10,Generate Fix
11,Generate Fix
12,Generate Fix
13,Search
14,Explore
15,Search
16,Search
17,Search
18,Search
19,Search
20,Explore
21,Generate Fix
22,Generate Fix
23,Generate Fix
24,Generate Fix
25,Explore
26,Generate Fix
27,Generate Fix
28,Generate Fix
29,Generate Fix
30,Generate Fix
31,Generate Fix
32,Generate Fix
33,Generate Fix
34,Explore
35,Generate Fix
36,Locate
37,Generate Fix
38,Generate Fix
