iteration,category
0,Explore
1,Explore
2,Explain
3,Search
4,Generate Fix
5,Generate Fix
6,Generate Fix
7,Explain
8,Explore
9,Explain
10,Explore
11,Explore
12,Generate Fix
13,Explain
14,Explore
15,Generate Fix
16,Explain
17,Explore
18,Explore
19,Explore
20,Explain
21,Explain
22,Explain
23,Search
24,Explore
25,Explore
26,Explore
27,Explain
28,Generate Fix
29,Generate Fix
30,Explain
31,Explore
32,Search
33,Search
34,Generate Fix
35,Generate Fix
36,Generate Fix
37,Generate Fix
38,Generate Fix
