iteration,category
0,Explore
1,Explain
2,Search
3,Locate
4,Search
5,Search
6,Search
7,Locate
8,Generate Fix
9,Generate Fix
10,Generate Fix
11,Generate Fix
12,Generate Fix
13,Generate Fix
14,Generate Fix
15,Locate
16,Generate Fix
17,Generate Fix
18,Generate Fix
19,Generate Fix
20,Generate Fix
21,Generate Fix
22,Explain
23,Explain
24,Search
25,Locate
26,Explore
27,Locate
28,Generate Fix
29,Generate Fix
30,Generate Fix
31,Generate Fix
32,Generate Fix
33,Generate Fix
34,Generate Fix
35,Generate Fix
36,Generate Fix
37,Generate Fix
38,Explore
