iteration,category
0,Explore
1,Explore
2,Explore
3,Explore
4,Explore
5,Explore
6,Explore
7,Explore
8,Explain
9,Search
10,Explore
11,Generate Fix
12,Generate Fix
13,Generate Fix
14,Generate Fix
15,Generate Fix
16,Explore
17,Explore
18,Explore
19,Search
20,Locate
21,Generate Fix
22,Generate Fix
23,Search
24,Explore
25,Generate Fix
26,Generate Fix
27,Generate Fix
28,Generate Fix
29,Generate Fix
30,Generate Fix
31,Generate Fix
32,Explore
33,Search
34,Generate Fix
35,Generate Fix
36,Explore
37,Generate Fix
38,Search
