iteration,category
0,Explore
1,Explore
2,Explore
3,Explore
4,Explore
5,Explore
6,Explore
7,Explore
8,Explore
9,Explore
10,Explore
11,Explore
12,Explore
13,Explain
14,Search
15,Locate
16,Locate
17,Generate Fix
18,Generate Fix
19,Generate Fix
20,Generate Fix
21,Explain
22,Explain
23,Search
24,Explore
25,Explore
26,Search
27,Locate
28,Explore
29,Locate
30,Generate Fix
31,Generate Fix
32,Locate
33,Locate
34,Search
35,Search
36,Locate
37,Generate Fix
38,Generate Fix
