iteration,category
0,Explore
1,Explore
2,Explore
3,Explain
4,Search
5,Locate
6,Generate Fix
7,Generate Fix
8,Generate Fix
9,Explain
10,Explore
11,Explore
12,Explore
13,Explore
14,Locate
15,Explain
16,Search
17,Search
18,Explore
19,Locate
20,Generate Fix
21,Locate
22,Locate
23,Locate
24,Generate Fix
25,Generate Fix
26,Explain
27,Locate
28,Locate
29,Locate
30,Locate
31,Locate
32,Locate
33,Locate
34,Locate
35,Generate Fix
36,Generate Fix
37,Generate Fix
38,Generate Fix
