iteration,category
0,Explore
1,Explain
2,Search
3,Locate
4,Generate Fix
5,Explain
6,Search
7,Explore
8,Locate
9,Generate Fix
10,Generate Fix
11,Explain
12,Search
13,Locate
14,Generate Fix
15,Explain
16,Search
17,Explore
18,Locate
19,Generate Fix
20,Generate Fix
21,Generate Fix
22,Generate Fix
23,Generate Fix
24,Generate Fix
25,Explore
26,Generate Fix
27,Generate Fix
28,Generate Fix
29,Generate Fix
30,Explain
31,Search
32,Locate
33,Generate Fix
34,Generate Fix
35,Generate Fix
36,Generate Fix
37,Generate Fix
38,Explore
