iteration,category
0,Explore
1,Explain
2,Search
3,Explore
4,Generate Fix
5,Generate Fix
6,Generate Fix
7,Generate Fix
8,Generate Fix
9,Generate Fix
10,Explore
11,Explain
12,Search
13,Search
14,Search
15,Search
16,Locate
17,Generate Fix
18,Generate Fix
19,Generate Fix
20,Generate Fix
21,Generate Fix
22,Generate Fix
23,Generate Fix
24,Generate Fix
25,Generate Fix
26,Generate Fix
27,Generate Fix
28,Generate Fix
29,Generate Fix
30,Generate Fix
31,Generate Fix
32,Generate Fix
33,Generate Fix
34,Generate Fix
35,Generate Fix
36,Generate Fix
37,Generate Fix
