iteration,category
0,Explain
1,Search
2,Locate
3,Generate Fix
4,Generate Fix
5,Generate Fix
6,Explain
7,Explore
8,Explain
9,Search
10,Locate
11,Search
12,Search
13,Generate Fix
14,Generate Fix
15,Explain
16,Locate
17,Explore
18,Explain
19,Search
20,Search
21,Generate Fix
22,Generate Fix
23,Explain
24,Locate
25,Locate
26,Generate Fix
27,Explain
28,Generate Fix
29,Generate Fix
30,Explain
31,Generate Fix
32,Generate Fix
33,Explain
34,Generate Fix
35,Generate Fix
36,Explain
37,Search
