iteration,category
0,Explore
1,Explain
2,Search
3,Explore
4,Explore
5,Generate Fix
6,Generate Fix
7,Generate Fix
8,Generate Fix
9,Generate Fix
10,Generate Fix
11,Explore
12,Generate Fix
13,Generate Fix
14,Generate Fix
15,Generate Fix
16,Explain
17,Explain
18,Search
19,Explore
20,Explore
21,Generate Fix
22,Generate Fix
23,Explain
24,Explain
25,Generate Fix
26,Generate Fix
27,Explore
28,Explain
29,Explore
30,Explore
31,Explore
32,Explain
33,Search
34,Generate Fix
35,Generate Fix
36,Generate Fix
37,Explore
38,Generate Fix
