iteration,category
0,Explore
1,Explain
2,Search
3,Explore
4,Search
5,Explore
6,Explain
7,Generate Fix
8,Generate Fix
9,Explain
10,Explore
11,Explain
12,Search
13,Explore
14,Generate Fix
15,Generate Fix
16,Generate Fix
17,Generate Fix
18,Generate Fix
19,Generate Fix
20,Generate Fix
21,Generate Fix
22,Explore
23,Search
24,Search
25,Search
26,Search
27,Explore
28,Generate Fix
29,Generate Fix
30,Generate Fix
31,Generate Fix
32,Explore
33,Search
34,Explore
35,Generate Fix
36,Generate Fix
37,Generate Fix
38,Explore
