iteration,category
0,Explore
1,Explore
2,Explore
3,Explain
4,Search
5,Explore
6,Generate Fix
7,Explore
8,Generate Fix
9,Generate Fix
10,Generate Fix
11,Generate Fix
12,Search
13,Explore
14,Explore
15,Generate Fix
16,Explore
17,Generate Fix
18,Generate Fix
19,Generate Fix
20,Generate Fix
21,Explore
22,Generate Fix
23,Generate Fix
24,Generate Fix
25,Generate Fix
26,Generate Fix
27,Explore
28,Explore
29,Generate Fix
30,Explore
31,Explore
32,Generate Fix
33,Generate Fix
34,Generate Fix
35,Generate Fix
36,Generate Fix
37,Generate Fix
38,Generate Fix
