iteration,category
0,Explore
1,Explain
2,Search
3,Locate
4,Generate Fix
5,Generate Fix
6,Generate Fix
7,Generate Fix
8,Search
9,Search
10,Search
11,Locate
12,Locate
13,Run tests
14,Run tests
15,Generate Fix
16,Generate Fix
17,Generate Fix
18,Generate Fix
19,Generate Fix
20,Generate Fix
21,Generate Fix
22,Generate Fix
23,Generate Fix
24,Generate Fix
25,Generate Fix
26,Generate Fix
27,Generate Fix
28,Generate Fix
29,Generate Fix
30,Generate Fix
31,Generate Fix
32,Generate Fix
33,Search
34,Locate
35,Locate
36,Locate
37,Generate Fix
38,Search
