iteration,category
0,Explore
1,Explain
2,Search
3,Locate
4,Generate Fix
5,Generate Fix
6,Generate Fix
7,Generate Fix
8,Explore
9,Generate Fix
10,Generate Fix
11,Explain
12,Explain
13,Explore
14,Generate Fix
15,Generate Fix
16,Generate Fix
17,Explain
18,Explore
19,Explore
20,Explore
21,Explain
22,Search
23,Locate
24,Locate
25,Generate Fix
26,Generate Fix
27,Generate Fix
28,Generate Fix
29,Generate Fix
30,Generate Fix
31,Generate Fix
32,Generate Fix
33,Generate Fix
34,Explain
35,Explore
36,Locate
37,Explore
38,Explain
